household_id,lat,lon,district,sector,urban,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,stunting_flag,risk_score,risk_label
HH00022,-1.92427,30.52715,Rwamagana,Gahengeri,0,4,2,piped,1,2,0,0.5819,High
HH00023,-1.81731,30.04858,Gasabo,Gasabo,0,3,1,piped,1,1,1,0.9728,High
HH00024,-1.86055,30.06544,Nyarugenge,Kigali,1,1,3,protected_well,1,4,0,0.0044,Low
HH00025,-1.89005,29.98042,Nyarugenge,Nyamirambo,1,4,3,piped,2,3,0,0.0029,Low
HH00026,-1.91771,30.51524,Rwamagana,Nzige,1,0,2,piped,3,4,0,0.0,Low
HH00027,-1.97631,30.25105,Kicukiro,Gatenga,0,3,2,piped,1,1,1,0.7277,High
HH00028,-1.87265,30.01625,Nyarugenge,Gitega,0,2,3,piped,1,3,0,0.0042,Low
HH00029,-1.95761,30.10934,Gasabo,Kinyinya,1,1,3,piped,3,3,0,0.0,Low
HH00030,-1.8157,30.02971,Kicukiro,Niboye,1,4,1,piped,3,2,0,0.2264,Low
HH00031,-2.01257,30.09197,Kicukiro,Kagarama,1,2,2,protected_well,3,4,0,0.0022,Low
HH00032,-1.88424,30.06933,Nyarugenge,Kimisagara,1,0,1,protected_well,3,1,0,0.3286,Medium
HH00033,-1.82441,30.5294,Rwamagana,Gahengeri,0,4,3,unprotected_well,1,3,1,0.7456,High
HH00034,-1.88924,30.14381,Gasabo,Remera,1,2,3,protected_well,3,3,0,0.0007,Low
HH00035,-2.17753,30.15379,Bugesera,Gashora,0,3,3,piped,3,4,0,0.0,Low
HH00036,-2.14224,30.13769,Bugesera,Mwogo,0,2,3,protected_well,2,3,0,0.0059,Low
HH00037,-2.05317,30.07993,Kicukiro,Kagarama,1,2,2,piped,2,2,0,0.0306,Low
HH00038,-1.87866,30.16468,Gasabo,Kinyinya,0,4,1,protected_well,3,2,1,0.7676,High
HH00039,-1.98578,30.17027,Kicukiro,Kagarama,1,2,2,piped,3,2,0,0.0039,Low
HH00040,-1.9811,30.52567,Rwamagana,Munyaga,0,0,3,unprotected_well,3,1,0,0.0298,Low
HH00041,-2.02914,30.16932,Kicukiro,Kanombe,0,2,2,protected_well,1,4,0,0.1229,Low
HH00042,-2.28379,30.12453,Bugesera,Gashora,0,2,2,piped,2,2,0,0.0306,Low
HH00043,-1.88589,30.44897,Rwamagana,Fumbwe,1,1,2,piped,3,1,0,0.0075,Low
HH00044,-2.10001,30.09649,Bugesera,Mwogo,0,3,1,unprotected_well,1,2,1,0.999,High
HH00045,-2.08026,30.21141,Bugesera,Juru,0,0,3,piped,2,2,0,0.0004,Low
HH00046,-1.93246,30.12147,Gasabo,Remera,1,4,3,protected_well,3,4,0,0.0009,Low
HH00047,-1.92842,29.97523,Nyarugenge,Kimisagara,1,2,2,piped,2,2,0,0.0306,Low
HH00048,-1.98974,30.44329,Rwamagana,Gahengeri,0,4,3,unprotected_well,3,1,0,0.483,Medium
HH00049,-2.18362,30.19127,Bugesera,Gashora,0,4,1,unprotected_well,3,1,1,0.9941,High
HH00050,-2.08502,30.0193,Nyarugenge,Rwezamenyo,1,0,2,piped,2,1,0,0.0252,Low
HH00051,-2.07878,30.16553,Bugesera,Mwogo,0,2,3,piped,1,3,0,0.0042,Low
HH00052,-1.80175,30.03207,Gasabo,Bumbogo,1,4,2,piped,3,3,0,0.0048,Low
HH00053,-2.02203,30.03581,Kicukiro,Gahanga,1,1,3,piped,2,1,0,0.0045,Low
HH00054,-1.96557,29.97139,Nyarugenge,Kimisagara,1,2,3,protected_well,3,3,0,0.0007,Low
HH00055,-1.86538,30.10416,Kicukiro,Kanombe,1,4,2,piped,3,4,0,0.0011,Low
HH00056,-2.04,30.00463,Kicukiro,Niboye,1,1,3,piped,3,3,0,0.0,Low
HH00057,-1.92914,30.41058,Rwamagana,Gishari,0,0,2,protected_well,1,1,1,0.6994,High
HH00058,-1.98962,30.25586,Kicukiro,Kagarama,0,3,2,protected_well,2,2,1,0.4557,Medium
HH00059,-1.92418,30.38391,Rwamagana,Gishari,0,1,3,protected_well,2,3,0,0.0025,Low
HH00060,-2.13276,30.14148,Bugesera,Juru,1,2,3,protected_well,2,1,0,0.1071,Low
HH00061,-2.20317,30.06985,Bugesera,Juru,0,3,3,piped,1,1,0,0.1662,Low
HH00062,-2.03866,30.04216,Nyarugenge,Kimisagara,0,1,3,protected_well,2,4,0,0.0006,Low
HH00063,-1.85226,30.37679,Rwamagana,Munyaga,1,2,2,protected_well,2,2,0,0.2628,Low
HH00064,-1.94211,30.45049,Rwamagana,Gahengeri,0,4,2,protected_well,1,1,1,0.9861,High
HH00065,-2.02233,30.16887,Kicukiro,Kagarama,1,0,3,unprotected_well,2,2,0,0.0516,Low
HH00066,-1.9202,30.10545,Gasabo,Kinyinya,1,2,3,piped,3,2,0,0.0003,Low
HH00067,-2.0379,30.15477,Bugesera,Gashora,0,2,1,piped,2,2,0,0.2977,Low
HH00068,-2.21333,30.15576,Bugesera,Kamabuye,0,4,2,protected_well,2,3,0,0.3037,Medium
HH00069,-1.91709,30.44628,Rwamagana,Nzige,0,3,1,unprotected_well,1,1,1,0.9998,High
HH00070,-1.86983,30.50988,Rwamagana,Fumbwe,1,2,2,piped,3,2,0,0.0039,Low
HH00071,-1.83016,30.3644,Rwamagana,Munyaga,0,0,3,piped,3,3,0,0.0,Low
HH00072,-2.04411,29.98314,Nyarugenge,Nyamirambo,1,2,3,piped,3,4,0,0.0,Low
HH00073,-1.91353,30.06234,Kicukiro,Kanombe,1,0,3,river,3,4,0,0.0038,Low
HH00074,-2.22206,30.17412,Bugesera,Kamabuye,0,4,1,protected_well,1,3,1,0.979,High
HH00075,-2.07293,30.13356,Bugesera,Mareba,0,4,3,piped,1,3,0,0.0225,Low
HH00076,-1.82324,30.05256,Gasabo,Jabana,1,0,1,piped,3,3,0,0.0021,Low
HH00077,-2.0014,30.0332,Kicukiro,Niboye,1,0,2,piped,2,4,0,0.0003,Low
HH00078,-1.92524,30.10648,Gasabo,Kinyinya,1,0,3,river,2,3,0,0.1198,Low
HH00079,-1.95545,30.16007,Nyarugenge,Kimisagara,0,1,3,protected_well,3,3,0,0.0003,Low
HH00080,-2.00943,29.99848,Kicukiro,Gahanga,1,0,2,piped,2,1,0,0.0252,Low
HH00081,-1.98136,30.28112,Rwamagana,Munyaga,0,4,3,unprotected_well,1,1,1,0.9835,High
HH00082,-1.80704,30.46021,Rwamagana,Gahengeri,0,2,1,protected_well,1,1,1,0.9942,High
HH00083,-1.93505,30.08888,Gasabo,Kinyinya,0,1,2,river,2,2,1,0.9508,High
HH00084,-1.96475,30.49212,Rwamagana,Gishari,0,0,2,river,2,1,1,0.9737,High
HH00085,-1.88322,30.4203,Rwamagana,Nzige,1,1,1,protected_well,3,1,0,0.5348,High
HH00086,-2.00329,30.13885,Kicukiro,Niboye,1,0,2,piped,2,1,0,0.0252,Low
HH00087,-1.90386,30.03894,Nyarugenge,Gitega,1,0,1,piped,3,4,0,0.0005,Low
HH00088,-1.81733,30.13196,Gasabo,Jabana,1,4,1,piped,3,2,0,0.2264,Low
HH00089,-1.88831,30.12449,Gasabo,Remera,1,1,3,protected_well,1,3,0,0.0197,Low
HH00090,-2.00624,29.94841,Nyarugenge,Rwezamenyo,1,0,2,piped,3,2,0,0.0007,Low
HH00091,-2.00796,30.0391,Kicukiro,Gahanga,0,1,1,piped,3,2,0,0.0221,Low
HH00092,-1.87845,30.18998,Gasabo,Remera,0,3,3,protected_well,3,2,0,0.0078,Low
HH00093,-2.06679,30.20091,Kicukiro,Kagarama,1,3,1,piped,1,1,1,0.9728,High
HH00094,-2.01061,30.08382,Nyarugenge,Kigali,1,3,3,protected_well,2,4,0,0.0031,Low
HH00095,-2.14507,30.16265,Bugesera,Kamabuye,0,1,1,river,2,1,1,0.9991,High
HH00096,-1.92152,29.9528,Nyarugenge,Kimisagara,1,2,1,piped,2,2,0,0.2977,Low
HH00097,-1.92432,30.08276,Nyarugenge,Gitega,1,0,3,piped,3,2,0,0.0001,Low
HH00098,-2.00212,30.06533,Kicukiro,Kagarama,1,3,3,piped,3,4,0,0.0,Low
HH00099,-1.97337,30.08613,Gasabo,Jabana,1,2,3,piped,3,1,0,0.0013,Low
HH00100,-1.94325,30.06186,Nyarugenge,Nyamirambo,0,0,2,protected_well,2,4,0,0.0032,Low
HH00101,-2.03517,30.04634,Kicukiro,Kagarama,0,3,3,protected_well,1,3,0,0.0996,Low
HH00102,-1.84478,30.4294,Rwamagana,Gishari,1,0,1,river,2,3,1,0.9607,High
HH00103,-2.18939,30.21452,Bugesera,Juru,0,2,2,protected_well,2,2,0,0.2628,Low
HH00104,-1.91001,30.37608,Rwamagana,Gahengeri,0,1,1,piped,1,1,0,0.8666,High
HH00105,-1.98009,30.0572,Nyarugenge,Gitega,1,2,2,piped,2,4,0,0.0016,Low
HH00106,-1.99074,30.08674,Kicukiro,Gahanga,1,0,3,piped,2,4,0,0.0,Low
HH00107,-1.88766,30.1897,Gasabo,Kinyinya,0,2,3,river,3,4,0,0.0204,Low
HH00108,-1.94269,30.0413,Nyarugenge,Kigali,1,2,3,piped,2,4,0,0.0001,Low
HH00109,-1.95385,30.1553,Nyarugenge,Rwezamenyo,1,0,2,piped,3,3,0,0.0002,Low
HH00110,-2.20511,30.18382,Bugesera,Mareba,1,4,2,piped,3,4,0,0.0011,Low
HH00111,-1.86319,29.94715,Nyarugenge,Kimisagara,1,2,3,piped,2,3,0,0.0005,Low
HH00112,-2.00018,30.12483,Kicukiro,Gatenga,0,0,3,protected_well,2,3,0,0.0011,Low
HH00113,-1.91463,30.36595,Rwamagana,Gishari,1,0,3,piped,3,2,0,0.0001,Low
HH00114,-1.87298,30.07736,Nyarugenge,Gitega,1,1,3,piped,3,2,0,0.0001,Low
HH00115,-1.96135,30.03025,Kicukiro,Kagarama,1,4,3,piped,3,4,0,0.0001,Low
HH00116,-1.84799,30.06786,Nyarugenge,Kimisagara,1,0,3,piped,3,4,0,0.0,Low
HH00117,-1.98792,30.08303,Kicukiro,Kagarama,1,1,3,piped,1,1,0,0.0349,Low
HH00118,-2.01474,30.01499,Kicukiro,Kanombe,1,3,2,piped,3,4,0,0.0005,Low
HH00119,-2.02926,30.07986,Nyarugenge,Kimisagara,0,2,1,piped,3,2,0,0.0504,Low
HH00120,-1.83734,30.13889,Nyarugenge,Nyamirambo,0,3,2,protected_well,3,2,0,0.0949,Low
HH00121,-1.94876,30.09013,Gasabo,Jabana,1,0,3,piped,3,3,0,0.0,Low
HH00122,-2.13727,30.08591,Bugesera,Kamabuye,1,2,2,piped,3,1,0,0.0175,Low
HH00123,-1.97021,30.47218,Rwamagana,Fumbwe,0,4,2,piped,1,3,0,0.2359,Low
HH00124,-2.03581,30.11716,Gasabo,Gasabo,0,3,2,piped,3,1,0,0.0402,Low
HH00125,-1.90508,30.17417,Gasabo,Kinyinya,1,2,2,piped,1,4,0,0.0123,Low
HH00126,-1.98388,30.05426,Kicukiro,Gatenga,0,2,2,protected_well,2,3,0,0.0733,Low
HH00127,-1.94342,30.58171,Rwamagana,Gahengeri,0,4,3,river,2,4,0,0.4787,Medium
HH00128,-2.16922,30.24724,Bugesera,Mareba,0,2,1,unprotected_well,2,2,1,0.9818,High
HH00129,-2.16464,30.14819,Bugesera,Mwogo,0,0,1,protected_well,3,1,1,0.3286,Medium
HH00130,-1.78145,30.3998,Rwamagana,Munyaga,0,0,2,unprotected_well,2,4,0,0.0346,Low
HH00131,-1.98889,30.02238,Gasabo,Remera,1,1,2,piped,3,2,0,0.0017,Low
HH00132,-2.19936,30.23358,Bugesera,Kamabuye,0,0,2,piped,2,2,0,0.0057,Low
HH00133,-1.91382,29.99416,Nyarugenge,Gitega,1,1,2,piped,3,4,0,0.0001,Low
HH00134,-1.9613,29.99087,Nyarugenge,Kigali,1,3,3,piped,3,4,0,0.0,Low
HH00135,-1.87798,30.11519,Gasabo,Remera,1,1,2,protected_well,3,4,0,0.0009,Low
HH00136,-1.95963,29.93415,Nyarugenge,Gitega,1,2,2,piped,2,1,0,0.1247,Low
HH00137,-1.90277,30.10967,Gasabo,Remera,1,2,2,piped,3,4,0,0.0002,Low
HH00138,-1.86359,30.14339,Gasabo,Jabana,1,3,2,piped,3,3,0,0.0021,Low
HH00139,-1.86313,30.12164,Gasabo,Bumbogo,1,4,2,river,2,4,0,0.9249,High
HH00140,-2.17528,30.06956,Bugesera,Gashora,0,4,2,unprotected_well,2,3,0,0.8311,High
HH00141,-2.05949,30.05299,Nyarugenge,Kimisagara,1,4,3,unprotected_well,1,4,1,0.3939,Medium
HH00142,-2.13495,30.08077,Bugesera,Juru,0,2,3,protected_well,1,3,0,0.045,Low
HH00143,-1.95322,30.09154,Kicukiro,Kagarama,0,3,1,unprotected_well,3,1,1,0.9862,High
HH00144,-2.23368,30.10441,Bugesera,Gashora,0,2,2,unprotected_well,2,4,0,0.1652,Low
HH00145,-1.98545,30.01726,Nyarugenge,Kigali,1,3,2,protected_well,2,2,0,0.4557,Medium
HH00146,-1.99281,30.2759,Rwamagana,Gahengeri,0,0,2,unprotected_well,3,1,0,0.2917,Low
HH00147,-2.13534,30.20695,Bugesera,Gashora,1,0,2,piped,3,3,0,0.0002,Low
HH00148,-1.98297,30.36763,Rwamagana,Gishari,0,0,3,protected_well,3,2,0,0.0006,Low
HH00149,-1.87077,30.15209,Gasabo,Jabana,1,2,2,piped,3,4,0,0.0002,Low
HH00150,-1.94092,30.03527,Nyarugenge,Rwezamenyo,0,0,2,protected_well,2,2,0,0.0607,Low
HH00151,-1.99352,30.39729,Rwamagana,Nzige,0,1,2,protected_well,2,2,0,0.1318,Low
HH00152,-2.11225,30.13317,Bugesera,Mwogo,0,1,1,piped,1,1,1,0.8666,High
HH00153,-2.07304,30.1375,Bugesera,Mareba,0,4,3,protected_well,2,3,0,0.0315,Low
HH00154,-1.95808,30.13162,Nyarugenge,Gitega,1,4,1,piped,3,1,0,0.5689,High
HH00155,-1.82479,30.10945,Nyarugenge,Rwezamenyo,1,4,1,piped,2,3,0,0.3414,Medium
HH00156,-2.04454,30.39531,Rwamagana,Fumbwe,1,1,3,piped,3,4,0,0.0,Low
HH00157,-1.96507,30.28616,Rwamagana,Fumbwe,0,2,2,unprotected_well,3,3,0,0.1005,Low
HH00158,-2.03051,30.12424,Kicukiro,Kanombe,1,3,3,protected_well,3,3,0,0.0017,Low
HH00159,-2.19365,30.15867,Bugesera,Juru,0,2,2,protected_well,2,1,1,0.6165,High
HH00160,-1.90048,29.94732,Nyarugenge,Nyamirambo,1,3,3,piped,2,3,0,0.0012,Low
HH00161,-1.78236,30.04717,Nyarugenge,Gitega,0,2,3,river,1,2,0,0.9643,High
HH00162,-2.14039,30.11606,Bugesera,Juru,0,2,2,river,3,1,1,0.9624,High
HH00163,-1.87522,30.12797,Kicukiro,Gatenga,0,1,3,piped,1,1,0,0.0349,Low
HH00164,-2.04899,30.11172,Nyarugenge,Nyamirambo,0,2,2,protected_well,1,2,0,0.7401,High
HH00165,-2.11025,30.18429,Bugesera,Gashora,0,2,2,piped,2,4,0,0.0016,Low
HH00166,-1.86158,30.50856,Rwamagana,Gahengeri,1,4,3,piped,3,4,0,0.0001,Low
HH00167,-2.13982,30.10505,Bugesera,Kamabuye,0,3,2,protected_well,1,2,1,0.8699,High
HH00168,-1.90884,30.04905,Nyarugenge,Gitega,1,4,1,piped,3,1,0,0.5689,High
HH00169,-2.11832,30.17535,Bugesera,Mwogo,0,0,1,unprotected_well,1,1,1,0.9972,High
HH00170,-1.86934,30.14207,Nyarugenge,Kigali,1,2,3,piped,3,2,0,0.0003,Low
HH00171,-1.92157,30.14407,Nyarugenge,Gitega,1,0,3,piped,3,3,0,0.0,Low
HH00172,-2.00626,30.04426,Kicukiro,Gahanga,0,3,1,piped,1,2,1,0.8882,High
HH00173,-1.88275,30.39512,Rwamagana,Fumbwe,0,0,2,protected_well,3,2,0,0.008,Low
HH00174,-1.89901,30.08161,Kicukiro,Niboye,1,0,2,protected_well,3,2,0,0.008,Low
HH00175,-1.76702,30.12044,Gasabo,Jabana,1,2,3,piped,3,4,0,0.0,Low
HH00176,-2.10069,30.16242,Bugesera,Juru,0,1,3,protected_well,2,3,0,0.0025,Low
HH00177,-2.08062,30.04855,Nyarugenge,Nyamirambo,1,1,2,protected_well,2,2,0,0.1318,Low
HH00178,-2.1262,30.16688,Bugesera,Mareba,1,1,2,protected_well,2,4,0,0.0074,Low
HH00179,-2.19698,30.15864,Bugesera,Mareba,0,1,2,protected_well,1,1,0,0.8453,High
HH00180,-1.86228,30.04411,Gasabo,Kinyinya,0,2,2,piped,2,1,0,0.1247,Low
HH00181,-1.99259,30.21985,Kicukiro,Niboye,1,3,2,piped,2,3,0,0.0162,Low
HH00182,-1.89238,30.07211,Gasabo,Bumbogo,1,1,2,piped,2,3,0,0.003,Low
HH00183,-1.93047,30.17973,Gasabo,Jabana,1,4,3,piped,3,4,0,0.0001,Low
HH00184,-1.89111,30.36511,Rwamagana,Munyaga,1,0,3,piped,3,3,0,0.0,Low
HH00185,-1.8996,30.44922,Rwamagana,Fumbwe,1,0,3,river,3,4,0,0.0038,Low
HH00186,-1.92627,30.34098,Rwamagana,Munyaga,0,1,2,protected_well,1,4,0,0.0563,Low
HH00187,-2.11145,30.15125,Bugesera,Gashora,0,3,3,piped,1,2,0,0.0423,Low
HH00188,-2.01481,30.06972,Nyarugenge,Rwezamenyo,1,4,3,piped,2,3,0,0.0029,Low
HH00189,-2.02074,30.06177,Nyarugenge,Kimisagara,1,3,2,piped,2,2,0,0.0691,Low
HH00190,-1.99218,30.42784,Rwamagana,Gishari,0,2,1,protected_well,3,1,1,0.7297,High
HH00191,-1.91543,30.07123,Gasabo,Kinyinya,1,3,1,piped,3,2,0,0.1108,Low
HH00192,-1.9533,30.50296,Rwamagana,Fumbwe,0,4,3,unprotected_well,2,2,0,0.6233,High
HH00193,-2.01303,30.11729,Kicukiro,Kagarama,1,1,2,piped,3,2,0,0.0017,Low
HH00194,-2.05662,30.45444,Rwamagana,Munyaga,0,1,3,protected_well,1,1,0,0.2896,Low
HH00195,-2.04566,30.21043,Gasabo,Bumbogo,1,3,3,piped,3,3,0,0.0002,Low
HH00196,-1.93302,30.50007,Rwamagana,Gishari,0,0,2,piped,1,2,0,0.0438,Low
HH00197,-1.97265,30.0989,Nyarugenge,Nyamirambo,1,0,3,piped,3,4,0,0.0,Low
HH00198,-2.1904,30.23637,Bugesera,Mwogo,0,1,2,protected_well,3,2,0,0.0187,Low
HH00199,-2.15228,30.30322,Bugesera,Mareba,0,0,1,piped,3,2,0,0.0095,Low
HH00200,-2.15988,30.17692,Bugesera,Juru,0,1,3,unprotected_well,2,2,0,0.1133,Low
HH00201,-1.93069,30.12187,Kicukiro,Kanombe,1,1,3,piped,3,4,0,0.0,Low
HH00202,-1.94337,30.15341,Gasabo,Remera,1,4,2,piped,3,2,0,0.0214,Low
HH00203,-2.03292,30.40309,Rwamagana,Nzige,1,2,3,protected_well,3,3,0,0.0007,Low
HH00204,-1.97268,30.0854,Gasabo,Gasabo,1,1,2,piped,1,4,0,0.0053,Low
HH00205,-1.95484,30.02514,Nyarugenge,Nyamirambo,1,1,3,piped,3,3,0,0.0,Low
HH00206,-1.93671,30.15138,Gasabo,Bumbogo,1,1,3,piped,3,2,0,0.0001,Low
HH00207,-1.96143,30.08324,Gasabo,Gasabo,1,0,1,river,1,2,1,0.9989,High
HH00208,-1.97599,30.11488,Nyarugenge,Gitega,1,3,3,piped,3,4,0,0.0,Low
HH00209,-2.02371,30.10027,Nyarugenge,Kimisagara,1,3,2,protected_well,2,4,0,0.0396,Low
HH00210,-1.98714,30.39562,Rwamagana,Munyaga,1,4,2,piped,3,4,0,0.0011,Low
HH00211,-2.02057,30.38834,Rwamagana,Gishari,0,4,2,piped,2,2,0,0.1485,Low
HH00212,-2.00007,30.22857,Nyarugenge,Kimisagara,1,3,3,protected_well,2,3,0,0.0137,Low
HH00213,-2.14219,30.07919,Bugesera,Juru,0,0,2,protected_well,2,2,0,0.0607,Low
HH00214,-2.219,30.20127,Bugesera,Mwogo,0,2,2,protected_well,2,3,0,0.0733,Low
HH00215,-1.97357,30.08195,Kicukiro,Kagarama,0,2,1,unprotected_well,1,2,1,0.9977,High
HH00216,-1.94738,30.08655,Nyarugenge,Kimisagara,1,3,2,piped,2,3,0,0.0162,Low
HH00217,-1.84736,29.99783,Gasabo,Kinyinya,1,0,2,piped,3,4,0,0.0,Low
HH00218,-2.10404,30.18904,Bugesera,Mwogo,0,1,1,protected_well,3,1,1,0.5348,High
HH00219,-1.85337,30.20853,Gasabo,Kinyinya,0,1,2,protected_well,3,4,0,0.0009,Low
HH00220,-1.87028,30.12028,Gasabo,Jabana,0,4,2,protected_well,2,3,0,0.3037,Medium
HH00221,-2.07984,30.02138,Kicukiro,Kanombe,1,2,2,piped,2,3,0,0.007,Low
HH00222,-1.93112,30.04204,Nyarugenge,Gitega,1,1,1,piped,2,3,0,0.0385,Low
HH00223,-2.12066,30.09492,Bugesera,Gashora,1,2,1,piped,2,3,0,0.0859,Low
HH00224,-2.18225,30.17413,Bugesera,Juru,0,0,1,unprotected_well,3,3,0,0.2136,Low
HH00225,-1.84147,30.52052,Rwamagana,Gahengeri,0,2,3,river,2,3,0,0.4288,Medium
HH00226,-1.889,30.05119,Gasabo,Kinyinya,1,1,3,unprotected_well,3,3,0,0.0035,Low
HH00227,-2.17598,30.1251,Bugesera,Mareba,0,3,2,protected_well,2,3,0,0.1566,Low
HH00228,-1.86882,30.1072,Gasabo,Jabana,1,2,3,piped,2,2,0,0.0024,Low
HH00229,-1.87441,30.14811,Gasabo,Remera,0,1,2,river,3,1,1,0.916,High
HH00230,-2.03797,30.36938,Rwamagana,Fumbwe,0,4,2,protected_well,1,2,1,0.9401,High
HH00231,-2.10803,30.20395,Bugesera,Mareba,0,0,2,protected_well,3,2,0,0.008,Low
HH00232,-2.162,30.09028,Bugesera,Juru,0,1,3,unprotected_well,3,4,0,0.0008,Low
HH00233,-2.26817,30.11487,Bugesera,Juru,0,2,2,piped,3,4,0,0.0002,Low
HH00234,-1.98424,30.07292,Nyarugenge,Rwezamenyo,1,1,3,piped,2,3,0,0.0002,Low
HH00235,-1.92125,30.10083,Gasabo,Remera,1,3,3,protected_well,3,4,0,0.0004,Low
HH00236,-2.00415,30.0816,Kicukiro,Gahanga,1,3,1,piped,3,2,0,0.1108,Low
HH00237,-1.96068,30.11024,Kicukiro,Gahanga,1,2,3,protected_well,1,3,0,0.045,Low
HH00238,-1.95103,30.06662,Gasabo,Kinyinya,1,4,3,unprotected_well,3,3,0,0.0439,Low
HH00239,-2.14177,30.15451,Bugesera,Gashora,0,4,1,piped,3,4,0,0.0142,Low
HH00240,-1.98929,30.18236,Gasabo,Gasabo,0,4,2,protected_well,1,1,1,0.9861,High
HH00241,-1.94561,30.15541,Nyarugenge,Gitega,1,1,2,piped,3,4,0,0.0001,Low
HH00242,-2.0374,30.1078,Kicukiro,Niboye,1,1,2,piped,3,1,0,0.0075,Low
HH00243,-1.87151,30.40539,Rwamagana,Gishari,0,1,1,piped,1,2,1,0.5903,High
HH00244,-2.04962,30.11768,Kicukiro,Kanombe,1,1,2,piped,2,3,0,0.003,Low
HH00245,-1.96012,30.10614,Kicukiro,Gatenga,1,0,3,piped,3,3,0,0.0,Low
HH00246,-1.98677,30.13499,Kicukiro,Kagarama,1,1,2,piped,3,3,0,0.0004,Low
HH00247,-1.92722,30.41646,Rwamagana,Nzige,0,2,3,river,1,3,0,0.857,High
HH00248,-2.02941,29.94134,Nyarugenge,Nyamirambo,1,0,3,piped,1,1,0,0.0152,Low
HH00249,-1.95991,30.13944,Gasabo,Gasabo,1,4,1,piped,2,2,0,0.7004,High
HH00250,-1.93308,30.07724,Gasabo,Kinyinya,1,0,3,piped,3,4,0,0.0,Low
HH00251,-1.89275,30.01173,Nyarugenge,Nyamirambo,1,3,3,piped,3,4,0,0.0,Low
HH00252,-1.96678,30.40428,Rwamagana,Gishari,0,0,2,piped,1,3,0,0.01,Low
HH00253,-1.93809,30.46436,Rwamagana,Munyaga,0,3,1,protected_well,1,1,1,0.9975,High
HH00254,-1.98735,30.05145,Kicukiro,Niboye,0,2,3,protected_well,1,1,0,0.4891,Medium
HH00255,-1.98412,30.24027,Kicukiro,Gatenga,1,2,2,piped,3,2,0,0.0039,Low
HH00256,-1.93085,30.51055,Rwamagana,Fumbwe,0,3,2,protected_well,1,3,0,0.5973,High
HH00257,-1.84881,30.09314,Gasabo,Gasabo,0,1,2,piped,1,1,0,0.3264,Medium
HH00258,-1.95394,30.11995,Kicukiro,Kagarama,1,2,2,piped,3,3,0,0.0009,Low
HH00259,-1.86693,30.09801,Nyarugenge,Kimisagara,1,3,2,protected_well,3,3,0,0.0227,Low
HH00260,-2.04105,30.03535,Kicukiro,Kanombe,1,4,3,piped,2,2,0,0.0128,Low
HH00261,-2.1824,30.28727,Bugesera,Kamabuye,1,2,2,piped,1,4,0,0.0123,Low
HH00262,-1.97311,30.18066,Nyarugenge,Kimisagara,1,3,3,piped,2,4,0,0.0003,Low
HH00263,-1.96082,30.43584,Rwamagana,Gishari,0,0,2,unprotected_well,1,1,1,0.9633,High
HH00264,-1.88015,30.04234,Nyarugenge,Kigali,1,1,3,piped,3,3,0,0.0,Low
